source,target,stock,year
AU,NA,1460,2017
AU,NR,763,2017
AU,NP,34464,2017
AU,NL,95782,2017
AU,NC,1968,2017
AU,NZ,673378,2017
AU,NI,918,2017
AU,NE,11,2017
AU,NG,6691,2017
AU,NU,984,2017
AU,MP,11,2017
AU,NO,5452,2017
AU,OM,1614,2017
AU,PK,46077,2017
AU,PA,320,2017
AU,PY,520,2017
AU,PE,11380,2017
AU,PH,233108,2017
AU,PL,62767,2017
AU,PT,21014,2017
AU,PR,177,2017
AU,QA,994,2017
AU,KR,103160,2017
AU,MD,1283,2017
AU,RE,287,2017
AU,RO,18880,2017
AU,RU,26013,2017
AU,RW,884,2017
AU,SH,33,2017
AU,KN,11,2017
AU,LC,33,2017
AU,VC,11,2017
AU,WS,27408,2017
AU,SA,15838,2017
AU,SN,453,2017
AU,RS,39805,2017
AU,SC,3296,2017
AU,SL,4092,2017
AU,SG,71106,2017
AU,SK,6989,2017
AU,SI,8992,2017
AU,SB,2466,2017
AU,SO,8118,2017
AU,ZA,192251,2017
AU,SS,4424,2017
AU,ES,18935,2017
AU,LK,117550,2017
AU,PS,3306,2017
AU,SD,25150,2017
AU,SR,165,2017
AU,SZ,442,2017
AU,SE,13194,2017
AU,CH,16512,2017
AU,SY,11392,2017
AU,TJ,143,2017
AU,MK,56264,2017
AU,TH,63652,2017
AU,TL,11757,2017
AU,TG,364,2017
AU,TK,773,2017
AU,TO,12354,2017
AU,TT,2012,2017
AU,TN,707,2017
AU,TR,45082,2017
AU,TM,66,2017
AU,TV,199,2017
AU,UG,3561,2017
AU,UA,18061,2017
AU,AE,7476,2017
AU,GB,1351846,2017
AU,TZ,4623,2017
AU,US,116001,2017
AU,UY,11679,2017
AU,UZ,1703,2017
AU,VU,1648,2017
AU,VE,5132,2017
AU,VN,238307,2017
AU,YE,707,2017
AU,ZM,7465,2017
AU,ZW,40724,2017
AW,BQ,298,2017
AW,CN,1134,2017
AW,CO,9827,2017
AW,CW,2471,2017
AW,DM,107,2017
AW,DO,4355,2017
AW,GD,259,2017
AW,GY,290,2017
AW,HT,1642,2017
AW,IN,332,2017
AW,JM,750,2017
AW,NL,4615,2017
AW,NI,107,2017
AW,PE,1141,2017
AW,PH,1010,2017
AW,PT,165,2017
AW,VC,113,2017
AW,SX,705,2017
AW,SR,1345,2017
AW,TR,10,2017
AW,US,616,2017
AW,VE,3421,2017
AZ,AF,182,2017
AZ,AM,145693,2017
AZ,BY,450,2017
AZ,EE,476,2017
AZ,GE,50173,2017
AZ,DE,279,2017
AZ,IR,1501,2017
AZ,KZ,3552,2017
AZ,KG,2507,2017
AZ,MD,277,2017
AZ,RU,28215,2017
AZ,TJ,244,2017
AZ,TR,2080,2017
AZ,TM,1691,2017
AZ,UA,2763,2017
AZ,UZ,16707,2017
BA,AT,201,2017
BA,HR,12287,2017
BA,FR,167,2017
BA,DE,532,2017
BA,HU,153,2017
BA,IT,111,2017
BA,ME,4229,2017
BA,RO,390,2017
BA,RU,170,2017
BA,RS,9831,2017
BA,SK,3259,2017
BA,SI,1886,2017
BA,MK,2961,2017
BB,AG,195,2017
BB,AU,24,2017
BB,BS,49,2017
BB,BZ,22,2017
BB,BM,28,2017
BB,CA,692,2017
BB,CN,43,2017
BB,CU,58,2017
BB,DM,338,2017
BB,GD,391,2017
BB,GY,6629,2017
BB,HT,33,2017
BB,IN,465,2017
BB,JM,999,2017
BB,KN,109,2017
BB,LC,2188,2017
BB,VC,3130,2017
BB,SR,47,2017
BB,TT,1497,2017
BB,GB,2522,2017
BB,US,1039,2017
BD,BH,30877,2017
BD,BR,15274,2017
BD,KH,20109,2017
BD,CN,166646,2017
BD,IN,35250,2017
BD,ID,156500,2017
BD,JP,14090,2017
BD,LA,90253,2017
BD,MY,208406,2017
BD,MM,239742,2017
BD,NP,39988,2017
BD,NO,14651,2017
BD,SG,9811,2017
BD,TH,10799,2017
BD,GB,34266,2017
BD,US,47103,2017
BD,VN,28176,2017
BE,AF,2311,2017
BE,AL,4389,2017
BE,DZ,10130,2017
BE,AO,2747,2017
BE,AR,531,2017
BE,AM,5822,2017
BE,AU,803,2017
BE,AT,2878,2017
BE,AZ,756,2017
BE,BS,2,2017
BE,BH,2,2017
BE,BD,1074,2017
BE,BB,6,2017
BE,BY,1597,2017
BE,BJ,576,2017
BE,BT,114,2017
BE,BO,339,2017
BE,BA,1929,2017
BE,BW,11,2017
BE,BR,5901,2017
BE,BG,14850,2017
BE,BF,591,2017
BE,BI,2016,2017
BE,CV,183,2017
BE,KH,260,2017
BE,CM,8277,2017
BE,CA,3141,2017
BE,CF,120,2017
BE,TD,189,2017
BE,CL,1088,2017
BE,CN,9776,2017
BE,CO,1629,2017
BE,CG,750,2017
BE,CR,115,2017
BE,CI,2244,2017
BE,HR,910,2017
BE,CU,679,2017
BE,CY,351,2017
BE,CZ,2947,2017
BE,KP,19,2017
BE,CD,20359,2017
BE,DK,3389,2017
BE,DJ,497,2017
BE,DM,30,2017
BE,DO,745,2017
BE,EC,2954,2017
BE,EG,1392,2017
BE,SV,107,2017
BE,GQ,20,2017
BE,ER,130,2017
BE,EE,787,2017
BE,ET,835,2017
BE,FJ,8,2017
BE,FI,3406,2017
BE,FR,158122,2017
BE,GA,328,2017
BE,GM,232,2017
BE,GE,1887,2017
BE,DE,44451,2017
BE,GH,3540,2017
BE,GR,16685,2017
BE,GT,147,2017
BE,GN,4598,2017
BE,GW,53,2017
BE,GY,19,2017
BE,HT,277,2017
BE,HN,66,2017
BE,HU,4252,2017
BE,IS,215,2017
BE,IN,7811,2017
BE,ID,1391,2017
BE,IR,5057,2017
BE,IQ,3730,2017
BE,IE,4087,2017
BE,IL,1605,2017
BE,IT,186116,2017
BE,JM,129,2017
BE,JP,5121,2017
BE,JO,386,2017
BE,KZ,2365,2017
BE,KE,559,2017
BE,KW,10,2017
BE,KG,1279,2017
BE,LA,131,2017
BE,LV,1079,2017
BE,LB,2074,2017
BE,LS,12,2017
BE,LR,430,2017
BE,LY,192,2017
BE,LI,17,2017
BE,LT,1592,2017
BE,LU,4975,2017
BE,MG,493,2017
BE,MW,30,2017
BE,MY,408,2017
BE,MV,2,2017
BE,ML,372,2017
BE,MT,385,2017
BE,MR,968,2017
BE,MU,734,2017
BE,MX,1064,2017
BE,MC,8,2017
BE,MN,431,2017
BE,ME,144,2017
BE,MA,92399,2017
BE,MZ,43,2017
BE,MM,91,2017
BE,NA,12,2017
BE,NP,1605,2017
BE,NL,150578,2017
BE,NZ,264,2017
BE,NI,62,2017
BE,NE,1156,2017
BE,NG,2919,2017
BE,NO,1462,2017
BE,OM,11,2017
BE,PK,4314,2017
BE,PA,50,2017
BE,PG,1,2017
BE,PY,149,2017
BE,PE,1144,2017
BE,PH,3510,2017
BE,PL,48584,2017
BE,PT,37305,2017
BE,KR,790,2017
BE,MD,1027,2017
BE,RO,29749,2017
BE,RU,14447,2017
BE,RW,3771,2017
BE,SM,21,2017
BE,ST,10,2017
BE,SA,46,2017
BE,SN,1594,2017
BE,RS,2520,2017
BE,SC,19,2017
BE,SL,737,2017
BE,SG,207,2017
BE,SK,4580,2017
BE,SI,862,2017
